"Gene","RefSeq","Exons testés","Exons Non 
Contributif 
(coverage < 
250x)*","","Gene","RefSeq","Exons testés","Exons Non 
Contributif 
(coverage < 
250x)*"
"ABL1","NM_005157","4-6, 7","","","IDH2","NM_002168","4",""
"AKT1","NM_05163","3, 7","","","JAK2","NM_004972","14",""
"ALK","NM_004304","23, 25","","","JAK3","NM_000215","4, 13, 16",""
"APC","NM_000038","16","","","KDR","NM_002253","6, 7, 11, 19, 21, 
26, 27, 30",""
"ATM","NM_000051","8, 9, 12, 17, 26, 
34, 35, 36, 39, 
50, 54-56, 59, 
61, 63","","","KIT","NM_000222","2, 9-11, 13-15, 17, 
18",""
"BRAF","NM_004333","11, 15","","","KRAS","NM_033360","2-4",""
"CDH1","NM_004360","3, 8, 9","","","MET","NM_001127500","2, 11, 14, 16, 19",""
"CDKN2A","NM_000077","2","2","","MLH1","NM_000249","12",""
"CSF1R","NM_005211","7, 22","","","MPL","NM_005373","10",""
"CTNNB1","NM_001904","3","","","NMP1","NM_002520","11",""
"EGFR","NM_005228","3, 7, 15, 18-21","","","NOTCH1","NM_017617","26, 27, 34",""
"ERBB2","NM_004448","19-21","","","NRAS","NM_002524","2-4",""
"ERBB4","NM_005235","3, 4, 6-9, 15, 23","","","PDGFRA","NM_006206","12, 14, 15, 18",""
"EZH2","NM_004456","16","","","PIK3CA","NM_006218","1, 4, 6, 7, 9, 13, 
18, 20",""
"FBXW7","NM_033632","5, 8-11","","","PTEN","NM_000314","1, 3, 5-8",""
"FGFR1","NM_023110","4, 7","","","PTPN11","NM_002834","3, 13",""
"FGFR2","NM_022970","7, 9, 12","","","RB1","NM_000321","4, 6, 10, 11, 14, 
17, 18, 20-22",""
"FGFR3","NM_000142","7, 9, 14, 16, 18","","","RET","NM_020975","10, 11, 13, 15, 16",""
"FLT3","NM_004119","11, 14, 16, 20","","","SMAD4","NM_005359","3-6, 8-12",""
"GNA11","NM_002067","5","","","SMARCB1","NM_003073","2, 4, 5, 9",""
"GNAQ","NM_002072","5","","","SMO","NM_005631","3, 5, 6, 9, 11",""
"GNAS","NM_000516","8, 9","","","SRC","NM_005417","14",""
"HNF1A","NM_000545","3, 4","","","STK11","NM_000455","1, 4-6, 8",""
"HRAS","NM_005343","2, 3","","","TP53","NM_000546","2, 4-8, 10",""
"IDH1","NM_005896","4","","","VHL","NM_000551","1-3",""
